time,temp_c,cloud,date,user_object_id
2025-01-30 16:45:00,15.7,86.0,2025-01-30,70
2025-01-30 17:00:00,13.9,94.0,2025-01-30,70
2025-01-30 17:15:00,13.9,94.0,2025-01-30,70
2025-01-30 17:30:00,13.9,94.0,2025-01-30,70
2025-01-30 17:45:00,13.9,94.0,2025-01-30,70
2025-01-30 18:00:00,13.2,79.0,2025-01-30,70
2025-01-30 18:15:00,13.2,79.0,2025-01-30,70
2025-01-30 18:30:00,13.2,79.0,2025-01-30,70
2025-01-30 18:45:00,13.2,79.0,2025-01-30,70
2025-01-30 19:00:00,13.0,77.0,2025-01-30,70
2025-01-30 19:15:00,13.0,77.0,2025-01-30,70
2025-01-30 19:30:00,13.0,77.0,2025-01-30,70
2025-01-30 19:45:00,13.0,77.0,2025-01-30,70
2025-01-30 20:00:00,12.8,62.0,2025-01-30,70
2025-01-30 20:15:00,12.8,62.0,2025-01-30,70
2025-01-30 20:30:00,12.8,62.0,2025-01-30,70
2025-01-30 20:45:00,12.8,62.0,2025-01-30,70
2025-01-30 21:00:00,12.6,47.0,2025-01-30,70
2025-01-30 21:15:00,12.6,47.0,2025-01-30,70
2025-01-30 21:30:00,12.6,47.0,2025-01-30,70
2025-01-30 21:45:00,12.6,47.0,2025-01-30,70
2025-01-30 22:00:00,12.4,37.0,2025-01-30,70
2025-01-30 22:15:00,12.4,37.0,2025-01-30,70
2025-01-30 22:30:00,12.4,37.0,2025-01-30,70
2025-01-30 22:45:00,12.4,37.0,2025-01-30,70
2025-01-30 23:00:00,11.9,36.0,2025-01-30,70
2025-01-30 23:15:00,11.9,36.0,2025-01-30,70
2025-01-30 23:30:00,11.9,36.0,2025-01-30,70
2025-01-30 23:45:00,11.9,36.0,2025-01-30,70
2025-01-31 03:00:00,10.5,22.0,2025-01-31,70
2025-01-31 03:15:00,10.5,22.0,2025-01-31,70
2025-01-31 03:30:00,10.5,22.0,2025-01-31,70
2025-01-31 03:45:00,10.5,22.0,2025-01-31,70
2025-01-31 04:00:00,9.7,26.0,2025-01-31,70
2025-01-31 04:15:00,9.7,26.0,2025-01-31,70
2025-01-31 04:30:00,9.7,26.0,2025-01-31,70
2025-01-31 04:45:00,9.7,26.0,2025-01-31,70
2025-01-31 05:00:00,9.2,33.0,2025-01-31,70
2025-01-31 05:15:00,9.2,33.0,2025-01-31,70
2025-01-31 05:30:00,9.2,33.0,2025-01-31,70
2025-01-31 05:45:00,9.2,33.0,2025-01-31,70
2025-01-31 06:00:00,8.8,56.0,2025-01-31,70
2025-01-31 06:15:00,8.8,56.0,2025-01-31,70
2025-01-31 06:30:00,8.8,56.0,2025-01-31,70
2025-01-31 06:45:00,8.8,56.0,2025-01-31,70
2025-01-31 07:00:00,8.5,75.0,2025-01-31,70
2025-01-31 07:15:00,8.5,75.0,2025-01-31,70
2025-01-31 07:30:00,8.5,75.0,2025-01-31,70
2025-01-31 07:45:00,8.5,75.0,2025-01-31,70
2025-01-31 08:00:00,8.4,84.0,2025-01-31,70
2025-01-31 08:15:00,8.4,84.0,2025-01-31,70
2025-01-31 08:30:00,8.4,84.0,2025-01-31,70
2025-01-31 08:45:00,8.4,84.0,2025-01-31,70
2025-01-31 09:00:00,9.3,84.0,2025-01-31,70
2025-01-31 09:15:00,9.3,84.0,2025-01-31,70
2025-01-31 09:30:00,9.3,84.0,2025-01-31,70
2025-01-31 09:45:00,9.7,100.0,2025-01-31,70
2025-01-31 10:00:00,11.0,73.0,2025-01-31,70
2025-01-31 10:15:00,11.0,73.0,2025-01-31,70
2025-01-31 10:30:00,11.0,73.0,2025-01-31,70
2025-01-31 10:45:00,11.0,73.0,2025-01-31,70
2025-01-31 11:00:00,12.3,51.0,2025-01-31,70
2025-01-31 11:15:00,12.3,51.0,2025-01-31,70
2025-01-31 11:30:00,12.3,51.0,2025-01-31,70
2025-01-31 11:45:00,12.3,51.0,2025-01-31,70
2025-01-31 12:00:00,13.2,57.0,2025-01-31,70
2025-01-31 12:15:00,12.7,36.0,2025-01-31,70
2025-01-31 12:30:00,12.7,36.0,2025-01-31,70
2025-01-31 12:45:00,12.7,36.0,2025-01-31,70
2025-01-31 13:00:00,13.6,56.0,2025-01-31,70
2025-01-31 13:15:00,13.6,56.0,2025-01-31,70
2025-01-31 13:30:00,13.6,56.0,2025-01-31,70
2025-01-31 13:45:00,13.6,56.0,2025-01-31,70
2025-01-31 14:00:00,14.1,44.0,2025-01-31,70
2025-01-31 14:15:00,14.1,44.0,2025-01-31,70
2025-01-31 14:30:00,14.1,44.0,2025-01-31,70
2025-01-31 14:45:00,14.1,44.0,2025-01-31,70
2025-01-31 15:00:00,14.4,45.0,2025-01-31,70
2025-01-31 15:15:00,14.4,45.0,2025-01-31,70
2025-01-31 15:30:00,14.4,45.0,2025-01-31,70
2025-01-31 15:45:00,14.4,45.0,2025-01-31,70
2025-01-31 16:00:00,14.3,36.0,2025-01-31,70
2025-01-31 16:15:00,14.3,36.0,2025-01-31,70
2025-01-31 16:30:00,14.3,36.0,2025-01-31,70
2025-01-31 16:45:00,14.3,36.0,2025-01-31,70
2025-01-31 17:00:00,12.8,36.0,2025-01-31,70
2025-01-31 17:15:00,12.8,36.0,2025-01-31,70
2025-01-31 17:30:00,12.8,36.0,2025-01-31,70
2025-01-31 17:45:00,12.8,36.0,2025-01-31,70
2025-01-31 18:00:00,11.8,88.0,2025-01-31,70
2025-01-31 18:15:00,11.8,88.0,2025-01-31,70
2025-01-31 18:30:00,11.8,88.0,2025-01-31,70
2025-01-31 18:45:00,11.8,60.0,2025-01-31,70
2025-01-31 19:00:00,11.2,47.0,2025-01-31,70
2025-01-31 19:15:00,11.2,47.0,2025-01-31,70
2025-01-31 19:30:00,11.2,47.0,2025-01-31,70
2025-01-31 19:45:00,11.2,47.0,2025-01-31,70
2025-01-31 20:00:00,10.7,27.0,2025-01-31,70
2025-01-31 20:15:00,10.7,27.0,2025-01-31,70
2025-01-31 20:30:00,10.7,27.0,2025-01-31,70
2025-01-31 20:45:00,10.7,27.0,2025-01-31,70
2025-01-31 21:00:00,10.2,15.0,2025-01-31,70
2025-01-31 21:15:00,10.2,15.0,2025-01-31,70
2025-01-31 21:30:00,10.2,15.0,2025-01-31,70
2025-01-31 21:45:00,10.2,15.0,2025-01-31,70
2025-01-31 22:00:00,9.7,9.0,2025-01-31,70
2025-01-31 22:15:00,9.7,9.0,2025-01-31,70
2025-01-31 22:30:00,9.7,9.0,2025-01-31,70
2025-01-31 22:45:00,9.7,9.0,2025-01-31,70
2025-01-31 23:00:00,9.3,7.0,2025-01-31,70
2025-01-31 23:15:00,9.3,7.0,2025-01-31,70
2025-01-31 23:30:00,9.3,7.0,2025-01-31,70
2025-01-31 23:45:00,9.3,7.0,2025-01-31,70
2025-02-01 03:00:00,8.0,6.0,2025-02-01,70
2025-02-01 03:15:00,8.0,6.0,2025-02-01,70
2025-02-01 03:30:00,8.0,6.0,2025-02-01,70
2025-02-01 03:45:00,8.0,6.0,2025-02-01,70
2025-02-01 04:00:00,7.7,7.0,2025-02-01,70
2025-02-01 04:15:00,7.7,7.0,2025-02-01,70
2025-02-01 04:30:00,7.7,7.0,2025-02-01,70
2025-02-01 04:45:00,7.7,7.0,2025-02-01,70
2025-02-01 05:00:00,7.5,6.0,2025-02-01,70
2025-02-01 05:15:00,7.5,6.0,2025-02-01,70
2025-02-01 05:30:00,7.5,6.0,2025-02-01,70
2025-02-01 05:45:00,7.5,6.0,2025-02-01,70
2025-02-01 06:00:00,7.3,9.0,2025-02-01,70
2025-02-01 06:15:00,7.3,9.0,2025-02-01,70
2025-02-01 06:30:00,7.3,9.0,2025-02-01,70
2025-02-01 06:45:00,7.3,10.0,2025-02-01,70
2025-02-01 07:00:00,7.0,12.0,2025-02-01,70
2025-02-01 07:15:00,7.0,12.0,2025-02-01,70
2025-02-01 07:30:00,7.0,12.0,2025-02-01,70
2025-02-01 07:45:00,7.0,12.0,2025-02-01,70
2025-02-01 08:00:00,6.9,10.0,2025-02-01,70
2025-02-01 08:15:00,6.9,10.0,2025-02-01,70
2025-02-01 08:30:00,6.9,10.0,2025-02-01,70
2025-02-01 08:45:00,6.9,10.0,2025-02-01,70
2025-02-01 09:00:00,8.1,15.0,2025-02-01,70
2025-02-01 09:15:00,8.1,15.0,2025-02-01,70
2025-02-01 09:30:00,8.1,15.0,2025-02-01,70
2025-02-01 09:45:00,8.1,15.0,2025-02-01,70
2025-02-01 10:00:00,9.5,40.0,2025-02-01,70
2025-02-01 10:15:00,9.5,40.0,2025-02-01,70
2025-02-01 10:30:00,9.5,40.0,2025-02-01,70
2025-02-01 10:45:00,9.5,40.0,2025-02-01,70
2025-02-01 11:00:00,10.3,100.0,2025-02-01,70
2025-02-01 11:15:00,10.3,100.0,2025-02-01,70
2025-02-01 11:30:00,10.3,100.0,2025-02-01,70
2025-02-01 11:45:00,10.3,100.0,2025-02-01,70
2025-02-01 12:00:00,10.8,100.0,2025-02-01,70
2025-02-01 12:15:00,10.8,100.0,2025-02-01,70
2025-02-01 12:30:00,10.8,100.0,2025-02-01,70
2025-02-01 12:45:00,10.8,100.0,2025-02-01,70
2025-02-01 13:00:00,11.3,100.0,2025-02-01,70
2025-02-01 13:15:00,11.3,100.0,2025-02-01,70
2025-02-01 13:30:00,11.3,100.0,2025-02-01,70
2025-02-01 13:45:00,11.3,100.0,2025-02-01,70
2025-02-01 14:00:00,11.5,100.0,2025-02-01,70
2025-02-01 14:15:00,11.5,100.0,2025-02-01,70
2025-02-01 14:30:00,11.5,100.0,2025-02-01,70
2025-02-01 14:45:00,11.5,100.0,2025-02-01,70
2025-02-01 15:00:00,11.3,100.0,2025-02-01,70
2025-02-01 15:15:00,11.3,100.0,2025-02-01,70
2025-02-01 15:30:00,11.3,100.0,2025-02-01,70
2025-02-01 15:45:00,11.3,100.0,2025-02-01,70
2025-02-01 16:00:00,10.6,100.0,2025-02-01,70
2025-02-01 16:15:00,10.6,100.0,2025-02-01,70
2025-02-01 16:30:00,10.6,100.0,2025-02-01,70
2025-02-01 16:45:00,10.6,100.0,2025-02-01,70
2025-02-01 17:00:00,9.7,100.0,2025-02-01,70
2025-02-01 17:15:00,9.7,100.0,2025-02-01,70
2025-02-01 17:30:00,9.7,100.0,2025-02-01,70
2025-02-01 17:45:00,9.7,100.0,2025-02-01,70
2025-02-01 18:00:00,8.7,86.0,2025-02-01,70
2025-02-01 18:15:00,8.7,86.0,2025-02-01,70
2025-02-01 18:30:00,8.4,80.0,2025-02-01,70
2025-02-01 18:45:00,8.4,80.0,2025-02-01,70
2025-02-01 19:00:00,7.9,60.0,2025-02-01,70
2025-02-01 19:15:00,7.9,60.0,2025-02-01,70
2025-02-01 19:30:00,7.9,60.0,2025-02-01,70
2025-02-01 19:45:00,7.9,60.0,2025-02-01,70
2025-02-01 20:00:00,7.5,46.0,2025-02-01,70
2025-02-01 20:15:00,7.5,46.0,2025-02-01,70
2025-02-01 20:30:00,7.5,46.0,2025-02-01,70
2025-02-01 20:45:00,7.5,46.0,2025-02-01,70
2025-02-01 21:00:00,7.3,39.0,2025-02-01,70
2025-02-01 21:15:00,7.3,39.0,2025-02-01,70
2025-02-01 21:30:00,7.3,39.0,2025-02-01,70
2025-02-01 21:45:00,7.3,39.0,2025-02-01,70
